Date,Contract,Price,Position,New Trade Action,Pnl Daily
08/02/2019,APR 19,32513.1,2,0,30643.94
11/02/2019,APR 19,32486.86,2,0,30042.38
12/02/2019,APR 19,32385.93,2,0,30807.44
13/02/2019,APR 19,32562.55,2,0,30100.94
14/02/2019,APR 19,32365.74,2,0,30534.94
15/02/2019,APR 19,32668.53,2,0,29727.5
18/02/2019,APR 19,32602.93,2,0,30064.58
19/02/2019,MAY 19,32608.98,2,0,30220.04
20/02/2019,MAY 19,32705.88,2,0,30258.38
21/02/2019,MAY 19,32888.56,2,-3,29897.06
22/02/2019,MAY 19,32966.28,-1,0,-14929.35
25/02/2019,MAY 19,33213.56,-1,2,-14601.32
26/02/2019,MAY 19,33082.35,1,0,14682.07
27/02/2019,MAY 19,33001.6,1,0,14813.28
28/02/2019,MAY 19,33122.72,1,0,14767.86
01/03/2019,MAY 19,33087.39,1,0,14779.97
04/03/2019,MAY 19,32912.78,1,-2,15028.26
05/03/2019,MAY 19,33028.85,-1,-1,-14634.64
06/03/2019,MAY 19,32864.34,-2,0,-29568.02
07/03/2019,MAY 19,32936,-2,0,-29232.92
08/03/2019,MAY 19,32835.07,-2,0,-29263.2
11/03/2019,MAY 19,32508.05,-2,0,-29563.98
12/03/2019,MAY 19,32789.65,-2,0,-29101.72
13/03/2019,MAY 19,32613.02,-2,0,-29404.5
14/03/2019,MAY 19,32633.21,-2,0,-28788.82
15/03/2019,MAY 19,32532.28,-2,1,-29101.7
18/03/2019,MAY 19,32635.22,-1,2,-14397.45
19/03/2019,JUN 19,32719,1,0,14202.64
20/03/2019,JUN 19,32835.07,1,0,14005.83
21/03/2019,JUN 19,32837.09,1,1,13867.55
22/03/2019,JUN 19,32895.63,2,0,26881.24
25/03/2019,JUN 19,32814.88,2,0,26661.22
26/03/2019,JUN 19,32764.42,2,0,27012.44
27/03/2019,JUN 19,32814.88,2,-3,27133.58
28/03/2019,JUN 19,32890.58,-1,0,-13210.5
29/03/2019,JUN 19,32867.36,-1,-1,-13231.7
01/04/2019,JUN 19,32941.04,-2,0,-26114.18
02/04/2019,JUN 19,32663.49,-2,0,-26114.16
03/04/2019,JUN 19,32648.35,-2,3,-26245.38
04/04/2019,JUN 19,32552.46,1,1,13296.29
05/04/2019,JUN 19,32466.67,2,0,26820.68
08/04/2019,JUN 19,32290.04,2,0,26850.96
09/04/2019,JUN 19,32340.51,2,0,27504.98
10/04/2019,JUN 19,32315.27,2,0,26921.62
11/04/2019,JUN 19,32027.62,2,-3,28364.92
12/04/2019,JUN 19,32083.13,-1,0,-14177.42
15/04/2019,JUN 19,32032.67,-1,-1,-13854.44
16/04/2019,JUL 19,31921.64,-2,0,-27981.4
17/04/2019,JUL 19,31840.9,-2,0,-28062.14
18/04/2019,JUL 19,31704.64,-2,3,-28395.22
23/04/2019,JUL 19,31336.25,1,0,14434.79
24/04/2019,JUL 19,31145.49,1,0,14640.68
25/04/2019,JUL 19,31270.64,1,0,14490.3
26/04/2019,JUL 19,31381.67,1,1,14282.38
29/04/2019,JUL 19,31101.08,2,-3,28118.64
30/04/2019,JUL 19,31099.06,-1,-1,-14116.86
01/05/2019,JUL 19,30998.13,-2,0,-28304.36
02/05/2019,JUL 19,30720.57,-2,0,-29747.68
03/05/2019,JUL 19,30771.04,-2,0,-29545.8
07/05/2019,JUL 19,30848.75,-2,0,-29561.96
08/05/2019,JUL 19,30877.01,-2,0,-29672.98
09/05/2019,JUL 19,30715.52,-2,0,-29919.26
10/05/2019,JUL 19,31093,-2,0,-29204.68
13/05/2019,JUL 19,30776.08,-2,0,-29679.04
14/05/2019,AUG 19,31210.08,-2,0,-29152.18
15/05/2019,AUG 19,31260.55,-2,0,-29152.18
16/05/2019,AUG 19,30887.11,-2,0,-29586.18
17/05/2019,AUG 19,30912.34,-2,0,-29035.1
20/05/2019,AUG 19,30871.97,-2,0,-29444.88
21/05/2019,AUG 19,30902.25,-2,0,-28859.48
22/05/2019,AUG 19,30771.04,-2,0,-29687.1
23/05/2019,AUG 19,30786.17,-2,0,-29343.96
24/05/2019,AUG 19,30760.94,-2,0,-29495.36
28/05/2019,AUG 19,30664.05,-2,0,-29638.66
29/05/2019,AUG 19,30160.4,-2,0,-30092.86
30/05/2019,AUG 19,30215.92,-2,0,-30125.14
31/05/2019,AUG 19,30150.31,-2,0,-30211.96
03/06/2019,AUG 19,30594.41,-2,0,-29471.12
04/06/2019,AUG 19,30543.94,-2,0,-27151.74
05/06/2019,AUG 19,30629.73,-2,0,-28213.54
06/06/2019,AUG 19,30713.5,-2,0,-28136.82
07/06/2019,AUG 19,30675.15,-2,0,-28213.52
10/06/2019,AUG 19,30695.34,-2,0,-28455.76
11/06/2019,AUG 19,30615.6,-2,0,-28070.2
12/06/2019,AUG 19,30786.17,-2,0,-27658.42
13/06/2019,AUG 19,30836.64,-2,0,-27860.28
14/06/2019,AUG 19,30680.2,-2,0,-27880.46
17/06/2019,AUG 19,30429.89,-2,0,-27775.48
18/06/2019,SEP 19,30594.41,-2,0,-27638.22
19/06/2019,SEP 19,30331.99,-2,0,-28021.76
20/06/2019,SEP 19,30614.59,-2,0,-27295.06
21/06/2019,SEP 19,30458.15,-2,0,-27517.1
24/06/2019,SEP 19,30508.62,-2,3,-27628.12
25/06/2019,SEP 19,30483.38,1,1,13612.21
26/06/2019,SEP 19,30206.83,2,0,28302.36
27/06/2019,SEP 19,30278.49,2,0,27997.54
28/06/2019,SEP 19,30256.29,2,0,27638.22
01/07/2019,SEP 19,30329.97,2,0,27379.84
02/07/2019,SEP 19,29119.81,2,0,29497.36
03/07/2019,SEP 19,29736.5,2,0,27991.48
04/07/2019,SEP 19,29781.91,2,0,27930.94
05/07/2019,SEP 19,29781.91,2,0,27224.42
08/07/2019,SEP 19,29923.22,2,0,26790.4
09/07/2019,SEP 19,29650.7,2,0,27527.2
10/07/2019,SEP 19,29615.38,2,0,27113.38
11/07/2019,SEP 19,29766.78,2,0,27002.34
12/07/2019,SEP 19,29620.43,2,0,27406.08
15/07/2019,SEP 19,29317.63,2,0,27860.28
16/07/2019,OCT 19,29413.52,2,0,28233.7
17/07/2019,OCT 19,29342.87,2,0,28431.54
18/07/2019,OCT 19,29262.12,2,0,28627.34
19/07/2019,OCT 19,29216.7,2,0,27567.58
22/07/2019,OCT 19,29322.68,2,0,27143.66
23/07/2019,OCT 19,29095.59,2,0,27557.48
24/07/2019,OCT 19,29358.01,2,0,27920.82
25/07/2019,OCT 19,29277.26,2,0,28274.08
26/07/2019,OCT 19,29075.4,2,0,28193.34
29/07/2019,OCT 19,29019.89,2,0,28496.12
30/07/2019,OCT 19,28868.49,2,0,28909.96
31/07/2019,OCT 19,28732.24,2,-3,29031.06
01/08/2019,OCT 19,28747.38,-1,-1,-14782.99
02/08/2019,OCT 19,28394.12,-2,0,-30329.04
05/08/2019,OCT 19,28318.42,-2,0,-30514.74
06/08/2019,OCT 19,28414.3,-2,0,-29172.38
07/08/2019,OCT 19,28172.07,-2,0,-29444.88
08/08/2019,OCT 19,28267.95,-2,0,-29212.76
09/08/2019,OCT 19,28323.47,-2,0,-28576.88
12/08/2019,OCT 19,28247.77,-2,0,-28677.8
13/08/2019,OCT 19,28530.37,-2,0,-27517.12
14/08/2019,OCT 19,28558.64,-2,0,-27204.22
15/08/2019,OCT 19,28575.79,-2,0,-27169.92
16/08/2019,OCT 19,28000.49,-2,0,-28411.34
