Date,Contract,Price,Position,New Trade Action,Pnl Daily
17/01/2019,APR 19,31045.7,8,0,10560.32
18/01/2019,APR 19,31088.22,8,0,12642.48
21/01/2019,APR 19,31116.56,8,0,11890.96
22/01/2019,APR 19,30888.8,8,0,13761.44
23/01/2019,APR 19,31177.3,8,0,12228.64
24/01/2019,APR 19,31410.13,8,0,11827.44
25/01/2019,APR 19,31177.3,8,0,14311.84
28/01/2019,APR 19,31167.18,8,-1,16371.04
29/01/2019,APR 19,31192.49,7,1,13229.02
30/01/2019,APR 19,31298.78,8,0,13622.56
31/01/2019,APR 19,31344.33,8,0,14227.12
01/02/2019,APR 19,31385.84,8,0,13612.4
04/02/2019,APR 19,31296.75,8,-3,12928.24
05/02/2019,APR 19,31349.39,5,0,8397.3
06/02/2019,APR 19,31501.24,5,-1,6815.5
07/02/2019,APR 19,31450.62,4,0,5941.52
08/02/2019,APR 19,31552.87,4,0,5128.8
11/02/2019,APR 19,31531.61,4,3,3905.76
12/02/2019,APR 19,31425.32,7,1,9550.31
13/02/2019,APR 19,31602.47,8,0,8084.4
14/02/2019,APR 19,31402.54,8,0,9845.36
15/02/2019,APR 19,31708.76,8,0,6588.16
18/02/2019,APR 19,31648.02,8,0,7897.6
19/02/2019,MAY 19,31651.06,8,-3,8543.52
20/02/2019,MAY 19,31749.25,5,0,5429.1
21/02/2019,MAY 19,31926.4,5,-1,4553.45
22/02/2019,MAY 19,31997.27,4,0,3593.44
25/02/2019,MAY 19,32246.29,4,0,2274.36
26/02/2019,MAY 19,32118.74,4,3,2582.72
27/02/2019,MAY 19,32037.76,7,0,5439.84
28/02/2019,MAY 19,32159.23,7,0,5119.45
01/03/2019,MAY 19,32129.88,7,0,5162.36
04/03/2019,MAY 19,31961.84,7,-2,6854.4
05/03/2019,MAY 19,32078.25,5,-1,2926.2
06/03/2019,MAY 19,31911.22,4,0,2948.52
07/03/2019,MAY 19,31987.14,4,0,2261.28
08/03/2019,MAY 19,31880.85,4,0,2343.28
11/03/2019,MAY 19,31556.92,4,0,2932.48
12/03/2019,MAY 19,31835.3,4,0,2020.84
13/03/2019,MAY 19,31658.15,4,0,2628.48
14/03/2019,MAY 19,31678.39,4,0,1396.92
15/03/2019,MAY 19,31582.22,4,1,2003.64
18/03/2019,MAY 19,31678.39,5,3,1771.4
19/03/2019,JUN 19,31754.31,8,-1,1338.64
20/03/2019,JUN 19,31855.54,7,1,-102.48
21/03/2019,JUN 19,31865.67,8,0,-1288.24
22/03/2019,JUN 19,31921.34,8,0,-4680.72
25/03/2019,JUN 19,31850.48,8,0,-5639.92
26/03/2019,JUN 19,31804.93,8,-3,-4274.32
27/03/2019,JUN 19,31855.54,5,0,-2369.35
28/03/2019,JUN 19,31926.4,5,-1,-4126.6
29/03/2019,JUN 19,31913.24,4,0,-3256.72
01/04/2019,JUN 19,31987.14,4,0,-3956.04
02/04/2019,JUN 19,31703.7,4,3,-3932.52
03/04/2019,JUN 19,31683.45,7,1,-6386.87
04/04/2019,JUN 19,31582.22,8,0,-5867.76
05/04/2019,JUN 19,31506.3,8,0,-5034.32
08/04/2019,JUN 19,31329.15,8,0,-4909.04
09/04/2019,JUN 19,31379.76,8,0,-2294.08
10/04/2019,JUN 19,31354.46,8,0,-4627.04
11/04/2019,JUN 19,31076.07,8,-3,1072.08
12/04/2019,JUN 19,31126.69,5,0,669.3
15/04/2019,JUN 19,31071.01,5,-1,-919.5
16/04/2019,JUL 19,30977.37,4,0,-260.12
17/04/2019,JUL 19,30878.67,4,0,-26.8
18/04/2019,JUL 19,30737.96,4,3,657.16
23/04/2019,JUL 19,30367.46,7,0,2825.06
